dependency,window,target_space,model,MAE,RMSE,R2,n_test
corr_BTC-USD_^GSPC,14,fisher_z,AR1,0.09081146715780257,0.143316495095708,0.852290276425914,2150
corr_BTC-USD_^GSPC,14,fisher_z,Naive_Last,0.08882298120207492,0.14544583456412022,0.8478684451305413,2150
corr_BTC-USD_^GSPC,14,fisher_z,Ridge,0.139711483809957,0.19166699057720077,0.7358130409441196,2150
corr_BTC-USD_^GSPC,14,fisher_z,ElasticNet,0.13969848961604595,0.19198931234854744,0.7349237400957569,2150
corr_BTC-USD_^GSPC,14,fisher_z,RF,0.14788165325189956,0.20150921065781519,0.7079840780049277,2150
corr_BTC-USD_^GSPC,14,fisher_z,GBM,0.15136640985786254,0.20481000031725674,0.6983390846079269,2150
corr_BTC-USD_^GSPC,14,fisher_z,XGB_GPU,0.16103191930563582,0.21334479726996605,0.672673745579356,2150
corr_BTC-USD_^GSPC,14,fisher_z,DCC_GARCH,0.28932651554602884,0.36339116019349865,0.050345905411559144,2150
corr_BTC-USD_^GSPC,30,fisher_z,AR1,0.03899033730585004,0.06503507459495102,0.938645662596526,2134
corr_BTC-USD_^GSPC,30,fisher_z,Naive_Last,0.03840973934822277,0.06533168779556472,0.9380847343113268,2134
corr_BTC-USD_^GSPC,30,fisher_z,Ridge,0.06107548335317228,0.08933100287416817,0.8842410965684919,2134
corr_BTC-USD_^GSPC,30,fisher_z,ElasticNet,0.06210275864568788,0.09006463883833266,0.8823319358681609,2134
corr_BTC-USD_^GSPC,30,fisher_z,RF,0.06717652773410354,0.09769549006735978,0.8615480692671942,2134
corr_BTC-USD_^GSPC,30,fisher_z,GBM,0.07027281617589885,0.1005757515134616,0.853264040044923,2134
corr_BTC-USD_^GSPC,30,fisher_z,XGB_GPU,0.07250185800871364,0.10282358641412763,0.8466317435993274,2134
corr_BTC-USD_^GSPC,30,fisher_z,DCC_GARCH,0.176552626733812,0.21932098161246277,0.30223312749644693,2134
corr_BTC-USD_^GSPC,60,fisher_z,AR1,0.018009855894532245,0.03211220951726038,0.9745825432783743,2104
corr_BTC-USD_^GSPC,60,fisher_z,Naive_Last,0.01776769480416135,0.03214636366531291,0.9745284471417706,2104
corr_BTC-USD_^GSPC,60,fisher_z,Ridge,0.029341055318204256,0.04515267331173298,0.9497473866481698,2104
corr_BTC-USD_^GSPC,60,fisher_z,ElasticNet,0.03063468001368362,0.046155316066171986,0.947490827535868,2104
corr_BTC-USD_^GSPC,60,fisher_z,GBM,0.03722537300249329,0.05570616311795782,0.923511136448704,2104
corr_BTC-USD_^GSPC,60,fisher_z,RF,0.03663114829737833,0.05645292811203041,0.9214466589749003,2104
corr_BTC-USD_^GSPC,60,fisher_z,XGB_GPU,0.038659260106986885,0.05760376272798362,0.9182112782114479,2104
corr_BTC-USD_^GSPC,60,fisher_z,DCC_GARCH,0.12299726907910324,0.1482892767596553,0.45798512008035597,2104
corr_BTC-USD_^GSPC,90,fisher_z,AR1,0.011965211612726269,0.02216652224844706,0.984447806142018,2074
corr_BTC-USD_^GSPC,90,fisher_z,Naive_Last,0.011833753378413223,0.02217300866550438,0.9844387029751827,2074
corr_BTC-USD_^GSPC,90,fisher_z,Ridge,0.020041545059253523,0.03198010650238203,0.9676289825145388,2074
corr_BTC-USD_^GSPC,90,fisher_z,ElasticNet,0.02134758532473671,0.0330959139891694,0.9653306820903106,2074
corr_BTC-USD_^GSPC,90,fisher_z,RF,0.025200458712894006,0.038328160087540836,0.9535021917181592,2074
corr_BTC-USD_^GSPC,90,fisher_z,GBM,0.026401928764515983,0.04074443648582981,0.9474547853761897,2074
corr_BTC-USD_^GSPC,90,fisher_z,XGB_GPU,0.028936413103123667,0.04296215938505657,0.9415790327902125,2074
corr_BTC-USD_^GSPC,90,fisher_z,DCC_GARCH,0.09411585403242086,0.11626550655508429,0.5721433217310554,2074
corr_BTC-USD_^IXIC,14,fisher_z,AR1,0.09059371816283733,0.14119684343435185,0.8560582665840425,2150
corr_BTC-USD_^IXIC,14,fisher_z,Naive_Last,0.08865261691184387,0.14320048776481678,0.8519440902545232,2150
corr_BTC-USD_^IXIC,14,fisher_z,Ridge,0.13657622633167646,0.1873573372054552,0.7465582471815532,2150
corr_BTC-USD_^IXIC,14,fisher_z,ElasticNet,0.136991291823544,0.18864294102327317,0.7430681937777271,2150
corr_BTC-USD_^IXIC,14,fisher_z,RF,0.1456246131679562,0.19895698403198422,0.7142046683581814,2150
corr_BTC-USD_^IXIC,14,fisher_z,GBM,0.1482818394313944,0.2008267920475406,0.7088075873636499,2150
corr_BTC-USD_^IXIC,14,fisher_z,XGB_GPU,0.1528398048216187,0.20566458161125303,0.6946093294914256,2150
corr_BTC-USD_^IXIC,14,fisher_z,DCC_GARCH,0.2916923741577685,0.3667422063442935,0.028912107227270112,2150
corr_BTC-USD_^IXIC,30,fisher_z,AR1,0.038545230877358,0.0633680930210067,0.9413218624926519,2134
corr_BTC-USD_^IXIC,30,fisher_z,Naive_Last,0.038034245607897935,0.06363122865088328,0.9408335294584583,2134
corr_BTC-USD_^IXIC,30,fisher_z,Ridge,0.05968887092458646,0.08672432986790826,0.8900951266195473,2134
corr_BTC-USD_^IXIC,30,fisher_z,ElasticNet,0.060872186138913154,0.08754479243068407,0.8880057618952154,2134
corr_BTC-USD_^IXIC,30,fisher_z,RF,0.06882249611410779,0.09962584746509477,0.8549629017088912,2134
corr_BTC-USD_^IXIC,30,fisher_z,GBM,0.07008718543747722,0.10131712492836945,0.849996718595037,2134
corr_BTC-USD_^IXIC,30,fisher_z,XGB_GPU,0.0724077524559669,0.10322693051955315,0.8442883623612387,2134
corr_BTC-USD_^IXIC,30,fisher_z,DCC_GARCH,0.17208478703695532,0.21862738390947856,0.3015357840780897,2134
corr_BTC-USD_^IXIC,60,fisher_z,AR1,0.017801809986297358,0.03096270291146041,0.9759570854312426,2104
corr_BTC-USD_^IXIC,60,fisher_z,Naive_Last,0.017566318068659974,0.03099621036385707,0.9759050193870119,2104
corr_BTC-USD_^IXIC,60,fisher_z,Ridge,0.028696921034221477,0.043325475480926724,0.9529243790696661,2104
corr_BTC-USD_^IXIC,60,fisher_z,ElasticNet,0.02984060582406518,0.04420447595869072,0.9509948328743527,2104
corr_BTC-USD_^IXIC,60,fisher_z,GBM,0.03566126409299016,0.052133648918532526,0.9318374816260706,2104
corr_BTC-USD_^IXIC,60,fisher_z,RF,0.034826789102139495,0.05251443398628254,0.9308381248350728,2104
corr_BTC-USD_^IXIC,60,fisher_z,XGB_GPU,0.038108246347718415,0.05655679916982534,0.9197806706189038,2104
corr_BTC-USD_^IXIC,60,fisher_z,DCC_GARCH,0.1189277332202235,0.14599918756475597,0.465423011604884,2104
corr_BTC-USD_^IXIC,90,fisher_z,AR1,0.011614637176394903,0.02109037995000322,0.9861979864638529,2074
corr_BTC-USD_^IXIC,90,fisher_z,Naive_Last,0.011516154101409,0.02109641123496557,0.9861900913211717,2074
corr_BTC-USD_^IXIC,90,fisher_z,Ridge,0.019374661294294847,0.030422311210257822,0.9712817447722492,2074
corr_BTC-USD_^IXIC,90,fisher_z,ElasticNet,0.020692487241756333,0.0314798134355632,0.9692505082961126,2074
corr_BTC-USD_^IXIC,90,fisher_z,RF,0.02533536692277309,0.03905260367389471,0.9526768517062778,2074
corr_BTC-USD_^IXIC,90,fisher_z,GBM,0.02659261425526641,0.04096379964343621,0.947931614919131,2074
corr_BTC-USD_^IXIC,90,fisher_z,XGB_GPU,0.028208758204714968,0.04235439029071809,0.9443365000437753,2074
corr_BTC-USD_^IXIC,90,fisher_z,DCC_GARCH,0.09266352282284467,0.11772972058229658,0.5699233462202061,2074
corr_BTC-USD_GLD,14,fisher_z,AR1,0.08893744908477018,0.14204551947853858,0.8614590358706661,2150
corr_BTC-USD_GLD,14,fisher_z,Naive_Last,0.08610753513737825,0.14452733881671695,0.8565755678680296,2150
corr_BTC-USD_GLD,14,fisher_z,Ridge,0.13785480377724033,0.19323561087163163,0.7436121410205517,2150
corr_BTC-USD_GLD,14,fisher_z,ElasticNet,0.13754767270988644,0.19353238480846427,0.7428240081978936,2150
corr_BTC-USD_GLD,14,fisher_z,RF,0.14460830325622445,0.20106556653020427,0.7224133788073193,2150
corr_BTC-USD_GLD,14,fisher_z,GBM,0.1506354952788746,0.2064827294630241,0.7072542547662657,2150
